age,sex,race,marital-status,relationship,workclass,fnlwgt,education,education-num,occupation,capital-gain,capital-loss,hours-per-week,native-country,target
39,0,0,0,0,0,77516,0,13,0,2174,0,40,0,<=50K
50,0,0,1,1,1,83311,0,13,1,0,0,13,0,<=50K
38,0,0,2,0,2,215646,1,9,2,0,0,40,0,<=50K
53,0,1,1,1,2,234721,2,7,2,0,0,40,0,<=50K
28,1,1,1,2,2,338409,0,13,3,0,0,40,1,<=50K
37,1,0,1,2,2,284582,3,14,1,0,0,40,0,<=50K
49,1,1,3,0,2,160187,4,5,4,0,0,16,2,<=50K
52,0,0,1,1,1,209642,1,9,1,0,0,45,0,>50K
31,1,0,0,0,2,45781,3,14,3,14084,0,50,0,>50K
42,0,0,1,1,2,159449,0,13,1,5178,0,40,0,>50K
37,0,1,1,1,2,280464,5,10,1,0,0,80,0,>50K
30,0,2,1,1,0,141297,0,13,3,0,0,40,3,>50K
23,1,0,0,3,2,122272,0,13,0,0,0,30,0,<=50K
32,0,1,0,0,2,205019,6,12,5,0,0,50,0,<=50K
34,0,3,1,1,2,245487,7,4,6,0,0,45,4,<=50K
25,0,0,0,3,1,176756,1,9,7,0,0,35,0,<=50K
32,0,0,0,4,2,186824,1,9,8,0,0,40,0,<=50K
38,0,0,1,1,2,28887,2,7,5,0,0,50,0,<=50K
43,1,0,2,4,1,292175,3,14,1,0,0,45,0,>50K
40,0,0,1,1,2,193524,8,16,3,0,0,60,0,>50K
54,1,1,4,4,2,302146,1,9,4,0,0,20,0,<=50K
35,0,1,1,1,3,76845,4,5,7,0,0,40,0,<=50K
43,0,0,1,1,2,117037,2,7,6,0,2042,40,0,<=50K
59,1,0,2,4,2,109015,1,9,9,0,0,40,0,<=50K
56,0,0,1,1,4,216851,0,13,9,0,0,40,0,>50K
19,0,0,0,3,2,168294,1,9,10,0,0,40,0,<=50K
39,0,0,2,0,2,367260,1,9,1,0,0,80,0,<=50K
49,0,0,1,1,2,193366,1,9,10,0,0,40,0,<=50K
23,0,0,0,0,4,190709,6,12,11,0,0,52,0,<=50K
20,0,1,0,3,2,266015,5,10,5,0,0,44,0,<=50K
45,0,0,2,3,2,386940,0,13,1,0,1408,40,0,<=50K
30,0,0,1,3,3,59951,5,10,0,0,0,40,0,<=50K
22,0,1,1,1,0,311512,5,10,4,0,0,15,0,<=50K
48,0,0,0,4,2,242406,2,7,8,0,0,40,5,<=50K
21,0,0,0,3,2,197200,5,10,8,0,0,40,0,<=50K
19,1,0,5,2,2,544091,1,9,0,0,0,25,0,<=50K
48,0,0,1,1,1,265477,6,12,3,0,0,40,0,<=50K
31,0,0,1,1,2,507875,4,5,8,0,0,43,0,<=50K
53,0,0,1,1,1,88506,0,13,3,0,0,40,0,<=50K
24,0,0,1,1,2,172987,0,13,9,0,0,50,0,<=50K
49,1,0,4,4,2,94638,1,9,0,0,0,40,0,<=50K
25,0,0,0,0,2,289980,1,9,2,0,0,35,0,<=50K
57,0,1,1,1,3,337895,0,13,3,0,0,40,0,>50K
53,0,0,1,1,2,144361,1,9,8,0,0,38,0,<=50K
44,1,0,2,4,2,128354,3,14,1,0,0,40,0,<=50K
41,0,0,1,1,0,101603,9,11,10,0,0,40,0,<=50K
29,0,0,0,0,2,271466,9,11,3,0,0,43,0,<=50K
25,1,4,1,2,2,32275,5,10,1,0,0,40,0,<=50K
47,1,0,1,2,2,51835,10,15,3,0,1902,60,6,>50K
50,0,0,2,0,3,251585,0,13,1,0,0,55,0,>50K
47,0,0,2,0,5,109832,1,9,1,0,0,60,0,<=50K
43,0,0,1,1,2,237993,5,10,9,0,0,40,0,>50K
46,0,0,1,1,2,216666,11,3,8,0,0,40,4,<=50K
35,0,0,1,1,2,56352,9,11,4,0,0,40,5,<=50K
41,0,0,1,1,2,147372,1,9,0,0,0,48,0,<=50K
30,0,0,1,1,2,188146,1,9,8,5013,0,40,0,<=50K
30,0,0,1,1,2,59496,0,13,5,2407,0,40,0,<=50K
48,0,0,1,1,2,149640,1,9,6,0,0,40,0,<=50K
42,0,0,1,1,2,116632,8,16,3,0,0,45,0,>50K
29,0,0,2,0,2,105598,5,10,9,0,0,58,0,<=50K
36,0,0,1,1,2,155537,1,9,10,0,0,40,0,<=50K
28,1,0,2,0,2,183175,5,10,0,0,0,40,0,<=50K
53,1,0,1,2,2,169846,1,9,0,0,0,40,0,>50K
49,0,0,1,1,5,191681,5,10,1,0,0,50,0,>50K
19,0,0,0,3,2,101509,5,10,3,0,0,32,0,<=50K
31,1,1,4,3,2,309974,0,13,5,0,0,40,0,<=50K
29,0,0,1,1,1,162298,0,13,5,0,0,70,0,>50K
23,0,0,0,0,2,211678,5,10,8,0,0,40,0,<=50K
79,0,0,1,5,2,124744,5,10,3,0,0,20,0,<=50K
27,0,0,0,3,2,213921,1,9,4,0,0,40,4,<=50K
40,0,0,1,1,2,32214,6,12,0,0,0,40,0,<=50K
18,1,0,0,3,2,309634,2,7,4,0,0,22,0,<=50K
31,0,0,1,1,4,125927,7,4,7,0,0,40,0,<=50K
18,0,0,0,0,2,446839,1,9,5,0,0,30,0,<=50K
52,0,0,1,1,2,276515,0,13,4,0,0,40,1,<=50K
46,1,0,1,2,2,51618,1,9,4,0,0,40,0,<=50K
59,0,0,1,1,2,159937,1,9,5,0,0,48,0,<=50K
44,1,0,2,0,2,343591,1,9,10,14344,0,40,0,>50K
53,1,0,2,3,2,346253,1,9,5,0,0,35,0,<=50K
49,0,0,1,1,4,268234,1,9,11,0,0,40,0,>50K
33,0,0,1,1,2,202051,3,14,3,0,0,50,0,<=50K
30,0,0,0,0,2,54334,4,5,5,0,0,40,0,<=50K
43,1,0,0,0,3,410867,8,16,3,0,0,50,0,>50K
57,0,0,1,1,2,249977,9,11,3,0,0,40,0,<=50K
37,1,0,2,4,2,286730,5,10,10,0,0,40,0,<=50K
28,1,1,2,4,2,212563,5,10,8,0,0,25,0,<=50K
34,0,0,1,1,4,226296,0,13,11,0,0,40,0,>50K
29,0,0,0,0,4,115585,5,10,2,0,0,50,0,<=50K
