Weight,Acceleration,Model_year,target
1955,20.5,71,26
2789,15,73,18
4055,12,76,13
4080,13.7,78,17.5
2372,15,70,24
1834,19,71,27
4380,12.1,76,16.5
4464,12,73,13
3439,15.5,71,16
2595,11.3,79,28.8
2124,13.5,73,18
2188,15.8,80,34.3
1975,15.2,79,34.1
4054,14.3,79,15.5
3725,19,81,26.6
2930,15.5,76,19
2694,15,75,23
3245,15.4,79,21.5
3102,16.5,74,20
2755,15.8,77,25.5
2511,18,72,22
2110,19.2,80,40.8
3336,17,74,15
2395,18,82,34
4341,10,70,15
3820,16.7,76,16.5
3430,17.2,78,20.5
2205,14.5,82,36
2254,23.5,72,23
4732,18.5,70,9
2401,19.5,73,21
1836,21,74,32
2125,14.5,74,28
1800,16.4,78,36.1
2045,16.2,81,34.4
1800,14.4,78,36.1
4129,13,72,14
3940,13.2,76,13
2979,19.5,72,21
2123,14,71,28
2070,18.6,78,39.4
1990,17,76,32
3897,18.5,75,16
2950,17.3,82,27
1825,18.6,77,36
3021,16.5,73,18
2807,13.5,73,20
3785,19,75,18
2223,16.5,75,25
2575,16.2,82,31
3664,11,73,11
4278,9.5,73,16
4312,8.5,70,14
2678,16.5,80,28
2900,12.6,81,25.4
3630,17.7,77,19
2790,15.6,82,27
3907,21,75,17
2672,17.5,70,25
1990,14.9,78,31.5
2945,14.5,75,22
2745,16.7,78,23.2
1965,15.7,82,32
2219,16.5,74,29
2711,15.5,80,29.8
4657,13.5,75,14
2500,15.1,80,35
2220,14,71,23
2930,13.8,81,24.2
1925,14,79,31.9
2164,15,72,28
1950,19,74,31
2130,24.6,82,44
3353,14.5,76,22
2065,17.8,81,32.3
1915,14.4,79,35.7
3205,11.2,78,18.1
4385,12,72,14
3160,19.6,81,30.7
2330,13.5,72,19
2380,20.7,81,29.9
2774,15.5,70,18
3761,9.5,70,15
3410,15.8,78,16.2
2051,17,77,30.5
2430,14.5,70,24
2200,13.2,79,34.2
4190,13,76,16
2264,15.5,71,28
2542,17.5,80,31.3
