r_start,particle_concentration,particle_diameter,reynolds_number,target
0.58354096,0.01,6,4,0.8018016
0.21563126,0.01,6,4,0.72893342
-0.70031792,0.01,6,4,-0.898898936
-0.71642724,0.01,6,4,-0.896590672
-0.05317734,0.01,6,4,-0.844597588
-0.58843322,0.01,6,4,-0.821671104
-0.33427612,0.01,6,4,-0.88034339
-0.843155118,0.01,6,4,-0.940013028
-0.79779936,0.01,6,4,-0.908961782
0.83089248,0.01,6,4,0.9400026
-0.36630592,0.01,6,4,-0.939564008
0.38165084,0.01,6,4,0.86025894
0.1164331,0.01,6,4,0.86384658
0.11704148,0.01,6,4,0.94000306
-0.861224232,0.01,6,4,-0.940003782
0.50395188,0.01,6,4,0.8156755
0.85215546,0.01,6,4,0.94000214
-0.10180474,0.01,6,4,-0.871154948
0.05492362,0.05,6,4,-0.940015512
0.42997634,0.05,6,4,0.8361734
-0.42587516,0.05,6,4,-0.79891324
0.15480834,0.05,6,4,0.71656402
0.3223845,0.05,6,4,0.94007218
-0.63481072,0.05,6,4,-0.940009442
0.79237488,0.05,6,4,0.83618484
-0.5805077,0.05,6,4,-0.73161056
0.04906234,0.05,6,4,-0.85392809
-0.65192092,0.05,6,4,-0.93942092
-0.7263472,0.05,6,4,-0.7342693
0.39981384,0.05,6,4,0.8387822
-0.80311382,0.05,6,4,-0.940013896
0.13611558,0.05,6,4,0.78274186
-0.58546466,0.05,6,4,-0.7135981
0.65234664,0.05,6,4,0.69561782
-0.3078659,0.05,6,4,-0.68492104
0.7093605,0.05,6,4,0.82046464
-0.63658996,0.05,6,4,-0.843665944
-0.3335321,0.05,6,4,-0.6533181
0.50416474,0.05,6,4,0.83612076
0.11504806,0.05,6,4,0.8204535
-0.36555244,0.05,6,4,-0.835511914
-0.76148448,0.05,6,4,-0.72034704
0.23810112,0.05,6,4,0.71268844
0.78398132,0.05,6,4,0.9400711
-0.33732628,0.05,6,4,-0.68064834
0.05295066,0.05,6,4,0.83609498
-0.25832406,0.05,6,4,-0.68180816
0.71012742,0.05,6,4,0.6395906
-0.54050892,0.05,6,4,-0.74873256
-0.8272258,0.05,6,4,-0.90067377
0.34887786,0.05,6,4,0.76642898
-0.00935212,0.05,6,4,0.66089218
0.46693772,0.05,6,4,0.82048828
-0.02366676,0.05,6,4,0.88063018
-0.06928176,0.05,6,4,-0.889881182
0.0819912,0.05,6,4,0.73219636
0.64882766,0.05,6,4,0.9401001
0.8230719,0.05,6,4,0.83611634
-0.50012062,0.05,6,4,-0.66177304
-0.17909012,0.05,6,4,-0.826925868
0.1142759,0.05,6,4,0.85329238
0.28158416,0.05,6,4,0.83617294
-0.5388969,0.05,6,4,-0.69522332
0.4548758,0.05,6,4,0.94000244
-0.78345608,0.05,6,4,-0.940004434
0.3862149,0.05,6,4,0.79111496
0.8422789,0.05,6,4,0.92190796
0.67776276,0.05,6,4,0.94002426
0.85020782,0.05,6,4,0.94002578
0.10439002,0.05,6,4,0.94002854
0.24373208,0.05,6,4,0.94006424
-0.62429818,0.05,6,4,-0.940007978
-0.20187614,0.05,6,4,-0.887559242
0.65036942,0.05,6,4,0.8361731
0.83650466,0.05,6,4,0.94001068
0.20114518,0.05,6,4,0.72417496
-0.62227776,0.05,6,4,-0.894641208
-0.3718203,0.05,6,4,-0.77283816
