Ytm1,Ytm2,Ytm3,Ytm4,Utm1,Utm2,Utm3,Utm4,Utm5,Utm6,target
52.7,53.1,53.4,53.5,53.5,0.441,0.373,0.339,0.178,0,-0.109
52.4,52.7,53.1,53.4,53.5,0.461,0.441,0.373,0.339,0.178,0
52.2,52.4,52.7,53.1,53.4,0.348,0.461,0.441,0.373,0.339,0.178
52,52.2,52.4,52.7,53.1,0.127,0.348,0.461,0.441,0.373,0.339
52,52,52.2,52.4,52.7,-0.18,0.127,0.348,0.461,0.441,0.373
52.4,52,52,52.2,52.4,-0.588,-0.18,0.127,0.348,0.461,0.441
53,52.4,52,52,52.2,-1.06,-0.588,-0.18,0.127,0.348,0.461
54,53,52.4,52,52,-1.42,-1.06,-0.588,-0.18,0.127,0.348
54.9,54,53,52.4,52,-1.52,-1.42,-1.06,-0.588,-0.18,0.127
56,54.9,54,53,52.4,-1.3,-1.52,-1.42,-1.06,-0.588,-0.18
56.8,56,54.9,54,53,-0.814,-1.3,-1.52,-1.42,-1.06,-0.588
56.8,56.8,56,54.9,54,-0.475,-0.814,-1.3,-1.52,-1.42,-1.06
56.4,56.8,56.8,56,54.9,-0.193,-0.475,-0.814,-1.3,-1.52,-1.42
55.7,56.4,56.8,56.8,56,0.088,-0.193,-0.475,-0.814,-1.3,-1.52
55,55.7,56.4,56.8,56.8,0.435,0.088,-0.193,-0.475,-0.814,-1.3
54.3,55,55.7,56.4,56.8,0.771,0.435,0.088,-0.193,-0.475,-0.814
53.2,54.3,55,55.7,56.4,0.866,0.771,0.435,0.088,-0.193,-0.475
52.3,53.2,54.3,55,55.7,0.875,0.866,0.771,0.435,0.088,-0.193
51.6,52.3,53.2,54.3,55,0.891,0.875,0.866,0.771,0.435,0.088
51.2,51.6,52.3,53.2,54.3,0.987,0.891,0.875,0.866,0.771,0.435
50.8,51.2,51.6,52.3,53.2,1.26,0.987,0.891,0.875,0.866,0.771
50.5,50.8,51.2,51.6,52.3,1.78,1.26,0.987,0.891,0.875,0.866
50,50.5,50.8,51.2,51.6,1.98,1.78,1.26,0.987,0.891,0.875
49.2,50,50.5,50.8,51.2,1.93,1.98,1.78,1.26,0.987,0.891
48.4,49.2,50,50.5,50.8,1.87,1.93,1.98,1.78,1.26,0.987
47.9,48.4,49.2,50,50.5,1.83,1.87,1.93,1.98,1.78,1.26
47.6,47.9,48.4,49.2,50,1.77,1.83,1.87,1.93,1.98,1.78
47.5,47.6,47.9,48.4,49.2,1.61,1.77,1.83,1.87,1.93,1.98
47.5,47.5,47.6,47.9,48.4,1.27,1.61,1.77,1.83,1.87,1.93
47.6,47.5,47.5,47.6,47.9,0.79,1.27,1.61,1.77,1.83,1.87
48.1,47.6,47.5,47.5,47.6,0.36,0.79,1.27,1.61,1.77,1.83
49,48.1,47.6,47.5,47.5,0.115,0.36,0.79,1.27,1.61,1.77
50,49,48.1,47.6,47.5,0.088,0.115,0.36,0.79,1.27,1.61
51.1,50,49,48.1,47.6,0.331,0.088,0.115,0.36,0.79,1.27
51.8,51.1,50,49,48.1,0.645,0.331,0.088,0.115,0.36,0.79
51.9,51.8,51.1,50,49,0.96,0.645,0.331,0.088,0.115,0.36
51.7,51.9,51.8,51.1,50,1.41,0.96,0.645,0.331,0.088,0.115
51.2,51.7,51.9,51.8,51.1,2.67,1.41,0.96,0.645,0.331,0.088
50,51.2,51.7,51.9,51.8,2.83,2.67,1.41,0.96,0.645,0.331
48.3,50,51.2,51.7,51.9,2.81,2.83,2.67,1.41,0.96,0.645
47,48.3,50,51.2,51.7,2.48,2.81,2.83,2.67,1.41,0.96
45.8,47,48.3,50,51.2,1.93,2.48,2.81,2.83,2.67,1.41
45.6,45.8,47,48.3,50,1.49,1.93,2.48,2.81,2.83,2.67
46,45.6,45.8,47,48.3,1.21,1.49,1.93,2.48,2.81,2.83
46.9,46,45.6,45.8,47,1.24,1.21,1.49,1.93,2.48,2.81
47.8,46.9,46,45.6,45.8,1.61,1.24,1.21,1.49,1.93,2.48
48.2,47.8,46.9,46,45.6,1.91,1.61,1.24,1.21,1.49,1.93
48.3,48.2,47.8,46.9,46,2.02,1.91,1.61,1.24,1.21,1.49
47.9,48.3,48.2,47.8,46.9,1.82,2.02,1.91,1.61,1.24,1.21
47.2,47.9,48.3,48.2,47.8,0.535,1.82,2.02,1.91,1.61,1.24
47.2,47.2,47.9,48.3,48.2,0.122,0.535,1.82,2.02,1.91,1.61
48.1,47.2,47.2,47.9,48.3,0.009,0.122,0.535,1.82,2.02,1.91
49.4,48.1,47.2,47.2,47.9,0.164,0.009,0.122,0.535,1.82,2.02
50.6,49.4,48.1,47.2,47.2,0.671,0.164,0.009,0.122,0.535,1.82
51.5,50.6,49.4,48.1,47.2,1.02,0.671,0.164,0.009,0.122,0.535
51.6,51.5,50.6,49.4,48.1,1.15,1.02,0.671,0.164,0.009,0.122
51.2,51.6,51.5,50.6,49.4,1.16,1.15,1.02,0.671,0.164,0.009
50.5,51.2,51.6,51.5,50.6,1.11,1.16,1.15,1.02,0.671,0.164
50.1,50.5,51.2,51.6,51.5,1.12,1.11,1.16,1.15,1.02,0.671
49.8,50.1,50.5,51.2,51.6,1.22,1.12,1.11,1.16,1.15,1.02
49.6,49.8,50.1,50.5,51.2,1.26,1.22,1.12,1.11,1.16,1.15
49.4,49.6,49.8,50.1,50.5,1.16,1.26,1.22,1.12,1.11,1.16
49.3,49.4,49.6,49.8,50.1,0.913,1.16,1.26,1.22,1.12,1.11
49.2,49.3,49.4,49.6,49.8,0.62,0.913,1.16,1.26,1.22,1.12
49.3,49.2,49.3,49.4,49.6,0.255,0.62,0.913,1.16,1.26,1.22
49.7,49.3,49.2,49.3,49.4,-0.28,0.255,0.62,0.913,1.16,1.26
50.3,49.7,49.3,49.2,49.3,-1.08,-0.28,0.255,0.62,0.913,1.16
51.3,50.3,49.7,49.3,49.2,-1.55,-1.08,-0.28,0.255,0.62,0.913
52.8,51.3,50.3,49.7,49.3,-1.8,-1.55,-1.08,-0.28,0.255,0.62
54.4,52.8,51.3,50.3,49.7,-1.83,-1.8,-1.55,-1.08,-0.28,0.255
56,54.4,52.8,51.3,50.3,-1.46,-1.83,-1.8,-1.55,-1.08,-0.28
56.9,56,54.4,52.8,51.3,-0.944,-1.46,-1.83,-1.8,-1.55,-1.08
57.5,56.9,56,54.4,52.8,-0.57,-0.944,-1.46,-1.83,-1.8,-1.55
57.3,57.5,56.9,56,54.4,-0.431,-0.57,-0.944,-1.46,-1.83,-1.8
56.6,57.3,57.5,56.9,56,-0.577,-0.431,-0.57,-0.944,-1.46,-1.83
56,56.6,57.3,57.5,56.9,-0.96,-0.577,-0.431,-0.57,-0.944,-1.46
55.4,56,56.6,57.3,57.5,-1.62,-0.96,-0.577,-0.431,-0.57,-0.944
55.4,55.4,56,56.6,57.3,-1.88,-1.62,-0.96,-0.577,-0.431,-0.57
56.4,55.4,55.4,56,56.6,-1.89,-1.88,-1.62,-0.96,-0.577,-0.431
57.2,56.4,55.4,55.4,56,-1.75,-1.89,-1.88,-1.62,-0.96,-0.577
58,57.2,56.4,55.4,55.4,-1.47,-1.75,-1.89,-1.88,-1.62,-0.96
